game_num,completed_at,first_guess,word,turns
64,2022-01-12 01:22:52.287439,there,javan,5
65,2022-01-12 01:22:52.406332,there,attar,5
66,2022-01-12 01:22:52.518439,there,routh,3
67,2022-01-12 01:22:52.650661,there,jehan,5
68,2022-01-12 01:22:52.783681,there,isley,5
69,2022-01-12 01:22:52.909721,there,rajon,6
70,2022-01-12 01:22:53.037639,there,dryly,4
71,2022-01-12 01:22:53.168627,there,wahoo,6
72,2022-01-12 01:22:53.308297,there,nagin,6
73,2022-01-12 01:22:53.422077,there,mutts,5
74,2022-01-12 01:22:53.543361,there,cuter,6
75,2022-01-12 01:22:53.664265,there,igcse,3
76,2022-01-12 01:22:53.798673,there,bulls,5
77,2022-01-12 01:22:53.912464,there,marry,4
78,2022-01-12 01:22:54.026453,there,niece,3
79,2022-01-12 01:22:54.150880,there,perks,5
80,2022-01-12 01:22:54.287548,there,payin,6
81,2022-01-12 01:22:54.401142,there,hawks,4
82,2022-01-12 01:22:54.516102,there,weitz,5
83,2022-01-12 01:22:54.645236,there,awful,3
84,2022-01-12 01:22:54.778487,there,oasis,5
85,2022-01-12 01:22:54.897521,there,epics,4
86,2022-01-12 01:22:55.028026,there,davis,4
87,2022-01-12 01:22:55.138342,there,tahir,3
88,2022-01-12 01:22:55.260149,there,leaky,6
89,2022-01-12 01:22:55.381398,there,belie,8
90,2022-01-12 01:22:55.518751,there,lavas,6
91,2022-01-12 01:22:55.690728,there,loamy,5
92,2022-01-12 01:22:55.813299,there,heave,5
93,2022-01-12 01:22:55.934178,there,homme,5
94,2022-01-12 01:22:56.048913,there,hasnt,4
95,2022-01-12 01:22:56.166839,there,greed,6
96,2022-01-12 01:22:56.290730,there,drama,5
97,2022-01-12 01:22:56.417585,there,bryon,6
98,2022-01-12 01:22:56.534207,there,flare,4
99,2022-01-12 01:22:56.660656,there,fired,5
0,2022-01-12 01:22:56.817173,which,doyle,4
1,2022-01-12 01:22:56.970935,which,klaas,7
2,2022-01-12 01:22:57.105126,which,tulip,4
3,2022-01-12 01:22:57.222904,which,colby,5
4,2022-01-12 01:22:57.378698,which,pasar,5
5,2022-01-12 01:22:57.533561,which,flyer,5
6,2022-01-12 01:22:57.674099,which,lydia,5
7,2022-01-12 01:22:57.821539,which,slurp,5
8,2022-01-12 01:22:57.944948,which,cakey,6
9,2022-01-12 01:22:58.063312,which,celts,4
10,2022-01-12 01:22:58.191981,which,mcvey,5
11,2022-01-12 01:22:58.345124,which,sloss,6
12,2022-01-12 01:22:58.480438,which,jiggs,8
13,2022-01-12 01:22:58.634305,which,arion,6
14,2022-01-12 01:22:58.781248,which,eakin,7
15,2022-01-12 01:22:58.940400,which,fenty,6
16,2022-01-12 01:22:59.108664,which,taber,4
17,2022-01-12 01:22:59.281277,which,starz,9
18,2022-01-12 01:22:59.429961,which,kasia,7
19,2022-01-12 01:22:59.582796,which,glaxo,5
20,2022-01-12 01:22:59.729581,which,stump,5
21,2022-01-12 01:22:59.848063,which,calma,7
22,2022-01-12 01:22:59.997694,which,elses,5
23,2022-01-12 01:23:00.112941,which,lowen,5
24,2022-01-12 01:23:00.261996,which,geeky,5
25,2022-01-12 01:23:00.383631,which,murph,4
26,2022-01-12 01:23:00.533407,which,rebus,4
27,2022-01-12 01:23:00.681579,which,tarde,4
28,2022-01-12 01:23:00.857861,which,bourn,4
29,2022-01-12 01:23:01.009322,which,saxby,5
30,2022-01-12 01:23:01.157252,which,noooo,6
31,2022-01-12 01:23:01.276043,which,shira,6
32,2022-01-12 01:23:01.435054,which,gaels,5
33,2022-01-12 01:23:01.592810,which,gassy,6
34,2022-01-12 01:23:01.711360,which,utica,4
35,2022-01-12 01:23:01.828535,which,sahel,4
36,2022-01-12 01:23:01.945906,which,thule,6
37,2022-01-12 01:23:02.095310,which,forty,4
38,2022-01-12 01:23:02.213770,which,huffs,7
39,2022-01-12 01:23:02.365118,which,berta,6
40,2022-01-12 01:23:02.483707,which,wider,3
41,2022-01-12 01:23:02.632827,which,festa,6
42,2022-01-12 01:23:02.807091,which,korps,5
43,2022-01-12 01:23:02.926349,which,chats,4
44,2022-01-12 01:23:03.072237,which,sloot,6
45,2022-01-12 01:23:03.185709,which,mecca,3
46,2022-01-12 01:23:03.302901,which,snuck,4
47,2022-01-12 01:23:03.422461,which,aleck,3
48,2022-01-12 01:23:03.566281,which,steps,4
49,2022-01-12 01:23:03.688163,which,mohan,6
50,2022-01-12 01:23:03.828676,which,cilia,4
51,2022-01-12 01:23:03.980393,which,sages,7
52,2022-01-12 01:23:04.097481,which,chyna,5
53,2022-01-12 01:23:04.247016,which,gnats,5
54,2022-01-12 01:23:04.400534,which,quads,5
55,2022-01-12 01:23:04.532324,which,usagi,5
56,2022-01-12 01:23:04.693291,which,raven,6
57,2022-01-12 01:23:04.826734,which,mingo,7
58,2022-01-12 01:23:04.971507,which,terme,5
59,2022-01-12 01:23:05.141027,which,korda,7
60,2022-01-12 01:23:05.278548,which,inman,4
61,2022-01-12 01:23:05.426672,which,plats,5
62,2022-01-12 01:23:05.568423,which,otome,4
63,2022-01-12 01:23:05.692974,which,tried,4
64,2022-01-12 01:23:05.844491,which,nakba,7
65,2022-01-12 01:23:05.989035,which,brags,5
66,2022-01-12 01:23:06.118452,which,arnie,5
67,2022-01-12 01:23:06.252856,which,tunis,5
68,2022-01-12 01:23:06.374653,which,marcy,5
69,2022-01-12 01:23:06.490488,which,hasta,5
70,2022-01-12 01:23:06.653882,which,payer,6
71,2022-01-12 01:23:06.782454,which,wiser,3
72,2022-01-12 01:23:06.947809,which,nampa,6
73,2022-01-12 01:23:07.095023,which,malia,5
74,2022-01-12 01:23:07.220347,which,calla,6
